Generation,Worker_Index,Start_Times,Shift_Lengths
4,24,"['X', 13, 13, 13, 13, 13, 'X']","[0, 9, 9, 9, 9, 9, 0]"
4,25,"['X', 10, 10, 10, 10, 10, 'X']","[0, 4, 4, 4, 4, 4, 0]"
4,26,"[12, 12, 12, 12, 'X', 'X', 12]","[9, 9, 9, 9, 0, 0, 9]"
4,27,"['X', 5, 5, 5, 5, 5, 'X']","[0, 5, 5, 5, 5, 5, 0]"
4,28,"[1, 1, 1, 'X', 'X', 1, 1]","[4, 4, 4, 0, 0, 4, 4]"
4,29,"[9, 9, 'X', 'X', 9, 9, 9]","[6, 6, 0, 0, 6, 6, 6]"
4,30,"[15, 'X', 'X', 15, 15, 15, 15]","[9, 0, 0, 9, 9, 9, 9]"
4,31,"[2, 2, 2, 'X', 'X', 2, 2]","[6, 6, 6, 0, 0, 6, 6]"
4,32,"[19, 19, 19, 19, 'X', 'X', 19]","[7, 7, 7, 7, 0, 0, 7]"
4,33,"[3, 3, 3, 'X', 'X', 3, 3]","[7, 7, 7, 0, 0, 7, 7]"
4,34,"[19, 19, 19, 19, 'X', 'X', 19]","[4, 4, 4, 4, 0, 0, 4]"
4,35,"['X', 'X', 22, 22, 22, 22, 22]","[0, 0, 8, 8, 8, 8, 8]"
4,36,"[12, 12, 12, 12, 'X', 'X', 12]","[11, 11, 11, 11, 0, 0, 11]"
4,37,"[14, 14, 14, 'X', 'X', 14, 14]","[9, 9, 9, 0, 0, 9, 9]"
4,38,"[17, 17, 17, 17, 17, 'X', 'X']","[7, 7, 7, 7, 7, 0, 0]"
4,39,"['X', 'X', 19, 19, 19, 19, 19]","[0, 0, 5, 5, 5, 5, 5]"
5,0,"[15, 15, 'X', 'X', 15, 15, 15]","[4, 4, 0, 0, 4, 4, 4]"
5,1,"[6, 6, 6, 'X', 'X', 6, 6]","[7, 7, 7, 0, 0, 7, 7]"
5,2,"[19, 19, 19, 19, 'X', 'X', 19]","[8, 8, 8, 8, 0, 0, 8]"
5,3,"[21, 21, 'X', 'X', 21, 21, 21]","[12, 12, 0, 0, 12, 12, 12]"
5,4,"['X', 'X', 17, 17, 17, 17, 17]","[0, 0, 7, 7, 7, 7, 7]"
5,5,"['X', 11, 11, 11, 11, 11, 'X']","[0, 7, 7, 7, 7, 7, 0]"
5,6,"[14, 14, 'X', 'X', 14, 14, 14]","[4, 4, 0, 0, 4, 4, 4]"
5,7,"[8, 8, 8, 8, 8, 'X', 'X']","[11, 11, 11, 11, 11, 0, 0]"
5,8,"['X', 'X', 14, 14, 14, 14, 14]","[0, 0, 5, 5, 5, 5, 5]"
5,9,"['X', 19, 19, 19, 19, 19, 'X']","[0, 8, 8, 8, 8, 8, 0]"
5,10,"['X', 16, 16, 16, 16, 16, 'X']","[0, 11, 11, 11, 11, 11, 0]"
5,11,"['X', 'X', 13, 13, 13, 13, 13]","[0, 0, 8, 8, 8, 8, 8]"
5,12,"['X', 11, 11, 11, 11, 11, 'X']","[0, 10, 10, 10, 10, 10, 0]"
5,13,"['X', 9, 9, 9, 9, 9, 'X']","[0, 6, 6, 6, 6, 6, 0]"
5,14,"[22, 22, 'X', 'X', 22, 22, 22]","[5, 5, 0, 0, 5, 5, 5]"
5,15,"[2, 2, 2, 2, 'X', 'X', 2]","[4, 4, 4, 4, 0, 0, 4]"
5,16,"[0, 0, 0, 0, 0, 'X', 'X']","[9, 9, 9, 9, 9, 0, 0]"
5,17,"['X', 'X', 3, 3, 3, 3, 3]","[0, 0, 4, 4, 4, 4, 4]"
5,18,"['X', 11, 11, 11, 11, 11, 'X']","[0, 11, 11, 11, 11, 11, 0]"
5,19,"[21, 21, 21, 'X', 'X', 21, 21]","[10, 10, 10, 0, 0, 10, 10]"
5,20,"['X', 3, 3, 3, 3, 3, 'X']","[0, 12, 12, 12, 12, 12, 0]"
5,21,"['X', 'X', 0, 0, 0, 0, 0]","[0, 0, 4, 4, 4, 4, 4]"
5,22,"[1, 1, 'X', 'X', 1, 1, 1]","[5, 5, 0, 0, 5, 5, 5]"
5,23,"[2, 2, 'X', 'X', 2, 2, 2]","[4, 4, 0, 0, 4, 4, 4]"
5,24,"['X', 13, 13, 13, 13, 13, 'X']","[0, 9, 9, 9, 9, 9, 0]"
5,25,"['X', 10, 10, 10, 10, 10, 'X']","[0, 4, 4, 4, 4, 4, 0]"
5,26,"[12, 12, 12, 12, 'X', 'X', 12]","[9, 9, 9, 9, 0, 0, 9]"
5,27,"['X', 5, 5, 5, 5, 5, 'X']","[0, 5, 5, 5, 5, 5, 0]"
5,28,"[20, 20, 20, 'X', 'X', 20, 20]","[5, 5, 5, 0, 0, 5, 5]"
5,29,"[9, 9, 'X', 'X', 9, 9, 9]","[6, 6, 0, 0, 6, 6, 6]"
5,30,"[13, 13, 13, 13, 13, 'X', 'X']","[9, 9, 9, 9, 9, 0, 0]"
5,31,"[2, 2, 2, 2, 2, 'X', 'X']","[9, 9, 9, 9, 9, 0, 0]"
5,32,"[19, 19, 19, 19, 'X', 'X', 19]","[7, 7, 7, 7, 0, 0, 7]"
5,33,"[10, 10, 'X', 'X', 10, 10, 10]","[11, 11, 0, 0, 11, 11, 11]"
5,34,"['X', 'X', 22, 22, 22, 22, 22]","[0, 0, 7, 7, 7, 7, 7]"
5,35,"[4, 4, 4, 4, 'X', 'X', 4]","[12, 12, 12, 12, 0, 0, 12]"
5,36,"[12, 12, 12, 12, 'X', 'X', 12]","[11, 11, 11, 11, 0, 0, 11]"
5,37,"[14, 14, 14, 'X', 'X', 14, 14]","[9, 9, 9, 0, 0, 9, 9]"
5,38,"[15, 15, 'X', 'X', 15, 15, 15]","[9, 9, 0, 0, 9, 9, 9]"
5,39,"['X', 'X', 19, 19, 19, 19, 19]","[0, 0, 5, 5, 5, 5, 5]"
6,0,"[15, 15, 'X', 'X', 15, 15, 15]","[4, 4, 0, 0, 4, 4, 4]"
6,1,"[6, 6, 6, 'X', 'X', 6, 6]","[7, 7, 7, 0, 0, 7, 7]"
6,2,"[19, 19, 19, 19, 'X', 'X', 19]","[8, 8, 8, 8, 0, 0, 8]"
6,3,"[21, 21, 'X', 'X', 21, 21, 21]","[12, 12, 0, 0, 12, 12, 12]"
6,4,"['X', 'X', 17, 17, 17, 17, 17]","[0, 0, 7, 7, 7, 7, 7]"
6,5,"['X', 11, 11, 11, 11, 11, 'X']","[0, 7, 7, 7, 7, 7, 0]"
6,6,"[14, 14, 'X', 'X', 14, 14, 14]","[4, 4, 0, 0, 4, 4, 4]"
6,7,"[8, 8, 8, 8, 8, 'X', 'X']","[11, 11, 11, 11, 11, 0, 0]"
6,8,"['X', 'X', 14, 14, 14, 14, 14]","[0, 0, 5, 5, 5, 5, 5]"
6,9,"['X', 19, 19, 19, 19, 19, 'X']","[0, 8, 8, 8, 8, 8, 0]"
6,10,"['X', 16, 16, 16, 16, 16, 'X']","[0, 11, 11, 11, 11, 11, 0]"
6,11,"['X', 'X', 13, 13, 13, 13, 13]","[0, 0, 8, 8, 8, 8, 8]"
6,12,"['X', 11, 11, 11, 11, 11, 'X']","[0, 10, 10, 10, 10, 10, 0]"
6,13,"['X', 9, 9, 9, 9, 9, 'X']","[0, 6, 6, 6, 6, 6, 0]"
6,14,"[22, 22, 'X', 'X', 22, 22, 22]","[5, 5, 0, 0, 5, 5, 5]"
6,15,"[2, 2, 2, 2, 'X', 'X', 2]","[4, 4, 4, 4, 0, 0, 4]"
6,16,"[0, 0, 0, 0, 0, 'X', 'X']","[9, 9, 9, 9, 9, 0, 0]"
6,17,"['X', 'X', 3, 3, 3, 3, 3]","[0, 0, 4, 4, 4, 4, 4]"
6,18,"['X', 11, 11, 11, 11, 11, 'X']","[0, 11, 11, 11, 11, 11, 0]"
6,19,"[21, 21, 21, 'X', 'X', 21, 21]","[10, 10, 10, 0, 0, 10, 10]"
6,20,"['X', 3, 3, 3, 3, 3, 'X']","[0, 12, 12, 12, 12, 12, 0]"
6,21,"['X', 'X', 0, 0, 0, 0, 0]","[0, 0, 4, 4, 4, 4, 4]"
6,22,"[1, 1, 'X', 'X', 1, 1, 1]","[5, 5, 0, 0, 5, 5, 5]"
6,23,"[2, 2, 'X', 'X', 2, 2, 2]","[4, 4, 0, 0, 4, 4, 4]"
6,24,"['X', 13, 13, 13, 13, 13, 'X']","[0, 9, 9, 9, 9, 9, 0]"
6,25,"['X', 10, 10, 10, 10, 10, 'X']","[0, 4, 4, 4, 4, 4, 0]"
6,26,"[12, 12, 12, 12, 'X', 'X', 12]","[9, 9, 9, 9, 0, 0, 9]"
6,27,"['X', 5, 5, 5, 5, 5, 'X']","[0, 5, 5, 5, 5, 5, 0]"
6,28,"[20, 20, 20, 'X', 'X', 20, 20]","[5, 5, 5, 0, 0, 5, 5]"
6,29,"[9, 9, 'X', 'X', 9, 9, 9]","[6, 6, 0, 0, 6, 6, 6]"
6,30,"[13, 13, 13, 13, 13, 'X', 'X']","[9, 9, 9, 9, 9, 0, 0]"
6,31,"[2, 2, 2, 2, 2, 'X', 'X']","[9, 9, 9, 9, 9, 0, 0]"
6,32,"[19, 19, 19, 19, 'X', 'X', 19]","[7, 7, 7, 7, 0, 0, 7]"
6,33,"[10, 10, 'X', 'X', 10, 10, 10]","[11, 11, 0, 0, 11, 11, 11]"
6,34,"['X', 'X', 22, 22, 22, 22, 22]","[0, 0, 7, 7, 7, 7, 7]"
6,35,"[4, 4, 4, 4, 'X', 'X', 4]","[12, 12, 12, 12, 0, 0, 12]"
6,36,"[12, 12, 12, 12, 'X', 'X', 12]","[11, 11, 11, 11, 0, 0, 11]"
6,37,"[14, 14, 14, 'X', 'X', 14, 14]","[9, 9, 9, 0, 0, 9, 9]"
